"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	2.72635202123096	0.00124510963646596	2189.64815738577	0
"pop_ratio"	-0.106211978245536	0.00160936676154516	-65.996130144729	0
"linguistic_distance"	0.0104352354248034	0.00190521399251577	5.47719860645367	4.32139881158982e-08
"contiguous"	-0.303636638306432	0.00161981925749985	-187.450937442914	0
"distance"	-0.0655899716846624	0.00271029584402555	-24.2002996939415	2.26008925048425e-129
"time_difference_c2_c1"	1.04276870716505	0.00230752183681948	451.899821932919	0
"percent_conflicts_c1_to_c2"	-0.179186148117351	0.00220141128295397	-81.3960342189715	0
"percent_conflicts_c2_to_c1"	-0.243113083782225	0.00243405096730274	-99.8800300601872	0
"num_conflicts"	0.193310419390321	0.00240377339444459	80.4195685987225	0
"tradeflow"	0.0747437351847725	0.00201595298971958	37.0761300317669	7.73350742936468e-301
"c1_in_eu"	-0.989759074531512	0.00313446312713615	-315.766698916577	0
"c2_in_eu"	-0.810831121540779	0.00190132758107957	-426.455246118288	0
"rta"	0.0332790755843766	0.00223452648931175	14.8931219851535	3.66521400223654e-50
"gdpcap_ratio"	-0.141979208651882	0.00260088069665143	-54.5888970742398	0
"percent_c2_migrants_from_c1"	0.0191901051711902	0.00172161137358761	11.1465952569776	7.44771029350008e-29
"percent_c1_migrants_from_c2"	0.173013710045765	0.00197235075400531	87.7195446572678	0
"percent_migrants_dest_c1"	0.106642985780716	0.00216769072438302	49.1965872165965	0
"percent_migrants_dest_c2"	-0.591717823741316	0.00206883312614879	-286.0152499795	0
