"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	0.0675969382017301	0.00685934818864339	9.85471743709501	4.77875808527238e-20
"pop_ratio"	-0.0113057739660869	0.0125072831351846	-0.903935238683633	0.366750225832295
"linguistic_distance"	-0.0267225799626498	0.00527648653216648	-5.06446473420216	7.13924878449906e-07
"distance"	0.0190350165211921	0.00666773454391979	2.85479519255155	0.0046045585873456
"time_difference_c2_c1"	0.0164607526710529	0.00584121534001573	2.81803558213085	0.00515065343514605
"percent_conflicts_c1_to_c2"	0.019327633598475	0.00787332514204125	2.4548247722263	0.0146591741248339
"percent_conflicts_c2_to_c1"	0.00213788044662039	0.00794348100884599	0.269136471055903	0.788008445091171
"tradeflowcap"	-0.0145721023531009	0.00773308112950056	-1.884385034771	0.0604731942135944
"rta"	0.0103198538407277	0.00822183007491326	1.25517722291732	0.210384810271899
"gdp_ratio"	-0.0292770207517025	0.0136182786570928	-2.14983269830906	0.0323624409663836
"gdpcap_ratio"	0.0511584981271692	0.015089947172524	3.39023705929995	0.000791191748610641
"percent_c2_migrants_from_c1"	0.0182686019439114	0.00706366115717865	2.58627948558169	0.0101697411279462
"percent_c1_migrants_from_c2"	0.003532829749012	0.012505481018346	0.282502507806714	0.777751741338913
"percent_migrants_dest_c1"	-0.00170266361926295	0.00643842246995435	-0.264453540787146	0.791610846194281
"percent_migrants_dest_c2"	0.0185183079434179	0.00845352123313554	2.19060287810375	0.0292447334624915
