"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	2.18441075007083	0.0801883730198755	27.2409910290786	2.58085930984518e-79
"pop_ratio"	0.331754184865127	0.170939837077739	1.94076577196136	0.053331295258087
"linguistic_distance"	0.151831970741233	0.0767041952242211	1.97944806405176	0.0487849452390664
"distance"	0.399419598247328	0.0883056315692093	4.52314978274385	9.14677285006967e-06
"time_difference_c2_c1"	0.0163563239797629	0.0739569267617577	0.221160135986351	0.825135528449305
"percent_conflicts_c1_to_c2"	-0.022288229516851	0.0992797916145493	-0.224499156921928	0.822539351518783
"percent_conflicts_c2_to_c1"	0.0846416650668867	0.0921584053245676	0.918436736929115	0.359213032414339
"tradeflowcap"	0.0879686985536693	0.107579211606863	0.817710942845923	0.414245948021834
"rta"	0.226803439016898	0.108740118758198	2.0857383788704	0.0379447021493785
"gdp_ratio"	-0.418104428968291	0.16053932866461	-2.6043738468707	0.0097159503627415
"gdpcap_ratio"	1.37813773981961	0.187545472696236	7.34828583173402	2.40910004987615e-12
"percent_c2_migrants_from_c1"	-0.0258248088527249	0.108998021755255	-0.23692915189518	0.812892082584409
"percent_c1_migrants_from_c2"	-0.0922160609558403	0.153172043607382	-0.602042375253626	0.547653031410243
"percent_migrants_dest_c1"	0.0702729158664275	0.0973423935909851	0.721914813002251	0.470973909468332
"percent_migrants_dest_c2"	-0.0976096006610319	0.103095753750638	-0.946785848204036	0.344597623034016
